Name,Contact Details,Employment History,Income,Rental History,Credit Score,Payment History,Outstanding Debts,Public Financial Records,Criminal Records,Legal Issues,Employment Verification,Income Verification,Personal References,Professional References,Good Tenant
Frank Green,6677889900,6 months,25000,None,590,Late payments,8000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Grace Lee,1231231234,7 years,70000,3 years,720,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Hannah White,3213213210,5 years,48000,2 years,640,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Ian Black,7897897890,8 years,90000,4 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Jack King,1010101010,3 years,40000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Laura Hill,2020202020,6 years,75000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Mark Young,3030303030,2 years,32000,None,580,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Nancy Scott,4040404040,5 years,65000,2 years,700,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Oscar Green,5050505050,1 year,28000,None,590,Late payments,7000,None,None,None,Verified,Verified,Neutral,Neutral,0
Paul Adams,6060606060,4 years,54000,2 years,670,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Quincy Lewis,7070707070,7 years,72000,3 years,730,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Rachel Moore,8080808080,5 years,46000,2 years,650,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Steve Carter,9090909090,10 years,85000,5 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Tom Brown,1111111111,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Uma Harris,2222222222,4 years,56000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Victor White,3333333333,3 years,41000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Wendy Gray,4444444444,6 years,70000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Xander Lee,5555555555,1 year,29000,None,590,Late payments,7000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Yara Brown,6666666666,5 years,68000,2 years,700,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Zane Black,7777777777,2 years,35000,None,610,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
John Doe,1234567890,5 years,60000,2 years,700,On-time,5000,None,None,None,Verified,Verified,Positive,Positive,1
Jane Smith,0987654321,3 years,45000,1 year,650,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Alice Johnson,1122334455,1 year,30000,None,600,Late payments,7000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Bob Brown,5566778899,10 years,80000,5 years,750,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Charlie Davis,9988776655,2 years,35000,1 year,620,On-time,4000,None,Serious,None,Verified,Verified,Neutral,Neutral,0
Eve Evans,4433221100,4 years,55000,2 years,680,Late payments,6000,None,None,None,Verified,Verified,Positive,Positive,1
Frank Green,6677889900,6 months,25000,None,590,Late payments,8000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Grace Lee,1231231234,7 years,70000,3 years,720,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Hannah White,3213213210,5 years,48000,2 years,640,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Ian Black,7897897890,8 years,90000,4 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Jack King,1010101010,3 years,40000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Laura Hill,2020202020,6 years,75000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Mark Young,3030303030,2 years,32000,None,580,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Nancy Scott,4040404040,5 years,65000,2 years,700,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Oscar Green,5050505050,1 year,28000,None,590,Late payments,7000,None,None,None,Verified,Verified,Neutral,Neutral,0
Paul Adams,6060606060,4 years,54000,2 years,670,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Quincy Lewis,7070707070,7 years,72000,3 years,730,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Rachel Moore,8080808080,5 years,46000,2 years,650,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Steve Carter,9090909090,10 years,85000,5 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Tom Brown,1111111111,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Uma Harris,2222222222,4 years,56000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Victor White,3333333333,3 years,41000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Wendy Gray,4444444444,6 years,70000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Xander Lee,5555555555,1 year,29000,None,590,Late payments,7000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Yara Brown,6666666666,5 years,68000,2 years,700,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Zane Black,7777777777,2 years,35000,None,610,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Adam West,8888888888,3 years,42000,1 year,620,On-time,4500,None,None,None,Verified,Verified,Neutral,Positive,1
Betty Blue,9999999999,4 years,50000,2 years,660,Late payments,5500,None,None,None,Verified,Verified,Positive,Neutral,1
Carl Cox,1212121212,7 years,72000,4 years,700,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Diana Prince,3434343434,2 years,38000,None,590,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Neutral,0
Elton John,5656565656,8 years,95000,5 years,770,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Fiona Apple,7878787878,1 year,30000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
George Martin,9090909091,6 years,68000,3 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Holly Wood,1010101011,5 years,47000,2 years,640,Late payments,3000,None,None,None,Verified,Verified,Neutral,Neutral,0
Ivy Green,2020202021,3 years,44000,1 year,650,On-time,3500,None,None,None,Verified,Verified,Positive,Positive,1
John Legend,3030303031,9 years,85000,4 years,760,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Karen White,4040404041,2 years,35000,None,620,Late payments,4500,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Louis Armstrong,5050505051,7 years,72000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Maggie Smith,6060606061,1 year,31000,None,590,Late payments,6000,None,None,None,Verified,Verified,Neutral,Negative,0
Nathan Drake,7070707071,4 years,56000,2 years,680,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Olivia Pope,8080808081,3 years,42000,1 year,630,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Peter Parker,9090909092,6 years,72000,3 years,700,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Quinn Thomas,1010101012,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Rachel Green,2020202022,5 years,68000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Steve Jobs,3030303032,3 years,41000,1 year,620,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Tina Turner,4040404042,8 years,78000,4 years,750,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Uma Thurman,5050505052,1 year,28000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
Victor Hugo,6060606062,4 years,55000,2 years,660,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Winston Churchill,7070707072,7 years,72000,3 years,710,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Xena Warrior,8080808082,2 years,33000,None,600,Late payments,5000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Yuri Gagarin,9090909093,5 years,70000,2 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Zoe Saldana,1010101013,3 years,42000,1 year,620,Late payments,4500,None,None,None,Verified,Verified,Neutral,Neutral,0
John Doe,1234567890,5 years,60000,2 years,700,On-time,5000,None,None,None,Verified,Verified,Positive,Positive,1
Jane Smith,0987654321,3 years,45000,1 year,650,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Alice Johnson,1122334455,1 year,30000,None,600,Late payments,7000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Bob Brown,5566778899,10 years,80000,5 years,750,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Charlie Davis,9988776655,2 years,35000,1 year,620,On-time,4000,None,Serious,None,Verified,Verified,Neutral,Neutral,0
Eve Evans,4433221100,4 years,55000,2 years,680,Late payments,6000,None,None,None,Verified,Verified,Positive,Positive,1
Frank Green,6677889900,6 months,25000,None,590,Late payments,8000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Grace Lee,1231231234,7 years,70000,3 years,720,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Hannah White,3213213210,5 years,48000,2 years,640,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Ian Black,7897897890,8 years,90000,4 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Jack King,1010101010,3 years,40000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Laura Hill,2020202020,6 years,75000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Mark Young,3030303030,2 years,32000,None,580,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Nancy Scott,4040404040,5 years,65000,2 years,700,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Oscar Green,5050505050,1 year,28000,None,590,Late payments,7000,None,None,None,Verified,Verified,Neutral,Neutral,0
Paul Adams,6060606060,4 years,54000,2 years,670,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Quincy Lewis,7070707070,7 years,72000,3 years,730,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Rachel Moore,8080808080,5 years,46000,2 years,650,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Steve Carter,9090909090,10 years,85000,5 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Tom Brown,1111111111,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Uma Harris,2222222222,4 years,56000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Victor White,3333333333,3 years,41000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Wendy Gray,4444444444,6 years,70000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Xander Lee,5555555555,1 year,29000,None,590,Late payments,7000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Yara Brown,6666666666,5 years,68000,2 years,700,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Zane Black,7777777777,2 years,35000,None,610,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Adam West,8888888888,3 years,42000,1 year,620,On-time,4500,None,None,None,Verified,Verified,Neutral,Positive,1
Betty Blue,9999999999,4 years,50000,2 years,660,Late payments,5500,None,None,None,Verified,Verified,Positive,Neutral,1
Carl Cox,1212121212,7 years,72000,4 years,700,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Diana Prince,3434343434,2 years,38000,None,590,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Neutral,0
Elton John,5656565656,8 years,95000,5 years,770,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Fiona Apple,7878787878,1 year,30000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
George Martin,9090909091,6 years,68000,3 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Holly Wood,1010101011,5 years,47000,2 years,640,Late payments,3000,None,None,None,Verified,Verified,Neutral,Neutral,0
Ivy Green,2020202021,3 years,44000,1 year,650,On-time,3500,None,None,None,Verified,Verified,Positive,Positive,1
John Legend,3030303031,9 years,85000,4 years,760,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Karen White,4040404041,2 years,35000,None,620,Late payments,4500,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Louis Armstrong,5050505051,7 years,72000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Maggie Smith,6060606061,1 year,31000,None,590,Late payments,6000,None,None,None,Verified,Verified,Neutral,Negative,0
Nathan Drake,7070707071,4 years,56000,2 years,680,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Olivia Pope,8080808081,3 years,42000,1 year,630,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Peter Parker,9090909092,6 years,72000,3 years,700,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Quinn Thomas,1010101012,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Rachel Green,2020202022,5 years,68000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Steve Jobs,3030303032,3 years,41000,1 year,620,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Tina Turner,4040404042,8 years,78000,4 years,750,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Uma Thurman,5050505052,1 year,28000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
Victor Hugo,6060606062,4 years,55000,2 years,660,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Winston Churchill,7070707072,7 years,72000,3 years,710,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Xena Warrior,8080808082,2 years,33000,None,600,Late payments,5000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Yuri Gagarin,9090909093,5 years,70000,2 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Zoe Saldana,1010101013,3 years,42000,1 year,620,Late payments,4500,None,None,None,Verified,Verified,Neutral,Neutral,0
Alex Kim,1111111112,4 years,56000,2 years,680,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Barbara Jones,2222222223,1 year,31000,None,590,Late payments,6000,None,None,None,Verified,Verified,Neutral,Negative,0
Carlos Ortiz,3333333334,8 years,72000,4 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Denise Rodriguez,4444444445,3 years,42000,1 year,630,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Ethan Hunt,5555555556,6 years,70000,3 years,700,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Felicity Brown,6666666667,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Gregory White,7777777778,5 years,68000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Heather Grey,8888888889,3 years,41000,1 year,620,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Isaac Newton,9999999990,10 years,95000,5 years,770,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Julia Roberts,1010101014,1 year,30000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
Kevin Bacon,2020202025,6 years,68000,3 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Lily Brown,3030303036,5 years,47000,2 years,640,Late payments,3000,None,None,None,Verified,Verified,Neutral,Neutral,0
Michael Scott,4040404047,4 years,44000,2 years,650,On-time,3500,None,None,None,Verified,Verified,Positive,Positive,1
Nina Simone,5050505058,9 years,85000,4 years,760,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Oliver Stone,6060606069,2 years,35000,None,620,Late payments,4500,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Penelope Cruz,7070707070,7 years,72000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Quincy Jones,8080808081,1 year,31000,None,590,Late payments,6000,None,None,None,Verified,Verified,Neutral,Negative,0
Rita Ora,9090909092,4 years,56000,2 years,680,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Samuel L. Jackson,1010101013,3 years,42000,1 year,630,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Tara Reid,2020202024,6 years,70000,3 years,700,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Ulysses Grant,3030303035,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Vanessa Williams,4040404046,5 years,68000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Walter White,5050505057,3 years,41000,1 year,620,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Xander Cage,6060606068,8 years,95000,5 years,770,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Yvonne Strahovski,7070707079,1 year,30000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
Zach Galifianakis,8080808080,6 years,68000,3 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
John Doe,1234567890,5 years,60000,2 years,700,On-time,5000,None,None,None,Verified,Verified,Positive,Positive,1
Jane Smith,0987654321,3 years,45000,1 year,650,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Alice Johnson,1122334455,1 year,30000,None,600,Late payments,7000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Bob Brown,5566778899,10 years,80000,5 years,750,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Charlie Davis,9988776655,2 years,35000,1 year,620,On-time,4000,None,Serious,None,Verified,Verified,Neutral,Neutral,0
Eve Evans,4433221100,4 years,55000,2 years,680,Late payments,6000,None,None,None,Verified,Verified,Positive,Positive,1
Frank Green,6677889900,6 months,25000,None,590,Late payments,8000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Grace Lee,1231231234,7 years,70000,3 years,720,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Hannah White,3213213210,5 years,48000,2 years,640,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Ian Black,7897897890,8 years,90000,4 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Jack King,1010101010,3 years,40000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Laura Hill,2020202020,6 years,75000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Mark Young,3030303030,2 years,32000,None,580,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Nancy Scott,4040404040,5 years,65000,2 years,700,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Oscar Green,5050505050,1 year,28000,None,590,Late payments,7000,None,None,None,Verified,Verified,Neutral,Neutral,0
Paul Adams,6060606060,4 years,54000,2 years,670,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Quincy Lewis,7070707070,7 years,72000,3 years,730,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Rachel Moore,8080808080,5 years,46000,2 years,650,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Steve Carter,9090909090,10 years,85000,5 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Tom Brown,1111111111,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Uma Harris,2222222222,4 years,56000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Victor White,3333333333,3 years,41000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Wendy Gray,4444444444,6 years,70000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Xander Lee,5555555555,1 year,29000,None,590,Late payments,7000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Yara Brown,6666666666,5 years,68000,2 years,700,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Zane Black,7777777777,2 years,35000,None,610,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Adam West,8888888888,3 years,42000,1 year,620,On-time,4500,None,None,None,Verified,Verified,Neutral,Positive,1
Betty Blue,9999999999,4 years,50000,2 years,660,Late payments,5500,None,None,None,Verified,Verified,Positive,Neutral,1
Carl Cox,1212121212,7 years,72000,4 years,700,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Diana Prince,3434343434,2 years,38000,None,590,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Neutral,0
Elton John,5656565656,8 years,95000,5 years,770,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Fiona Apple,7878787878,1 year,30000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
George Martin,9090909091,6 years,68000,3 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Holly Wood,1010101011,5 years,47000,2 years,640,Late payments,3000,None,None,None,Verified,Verified,Neutral,Neutral,0
Ivy Green,2020202021,3 years,44000,1 year,650,On-time,3500,None,None,None,Verified,Verified,Positive,Positive,1
John Legend,3030303031,9 years,85000,4 years,760,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Karen White,4040404041,2 years,35000,None,620,Late payments,4500,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Louis Armstrong,5050505051,7 years,72000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Maggie Smith,6060606061,1 year,31000,None,590,Late payments,6000,None,None,None,Verified,Verified,Neutral,Negative,0
Nathan Drake,7070707071,4 years,56000,2 years,680,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Olivia Pope,8080808081,3 years,42000,1 year,630,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Peter Parker,9090909092,6 years,72000,3 years,700,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Quinn Thomas,1010101012,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Rachel Green,2020202022,5 years,68000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Steve Jobs,3030303032,3 years,41000,1 year,620,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Tina Turner,4040404042,8 years,78000,4 years,750,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Uma Thurman,5050505052,1 year,28000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
Victor Hugo,6060606062,4 years,55000,2 years,660,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Winston Churchill,7070707072,7 years,72000,3 years,710,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Xena Warrior,8080808082,2 years,33000,None,600,Late payments,5000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Yuri Gagarin,9090909093,5 years,70000,2 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Zoe Saldana,1010101013,3 years,42000,1 year,620,Late payments,4500,None,None,None,Verified,Verified,Neutral,Neutral,0
Alan Turing,1212121213,4 years,58000,2 years,670,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Betty White,2323232323,6 years,75000,3 years,720,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Charles Darwin,3434343435,2 years,32000,None,590,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Negative,0
David Bowie,4545454545,10 years,90000,5 years,770,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Emma Watson,5656565656,1 year,30000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
Fred Flintstone,6767676767,8 years,72000,4 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Gwen Stacy,7878787878,5 years,68000,2 years,690,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Harry Potter,8989898989,3 years,41000,1 year,630,Late payments,5000,None,None,None,Verified,Verified,Neutral,Neutral,0
Irene Adler,9090909094,6 years,74000,3 years,710,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Jack Sparrow,1010101014,2 years,34000,None,600,Late payments,6000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Kate Winslet,1111111112,5 years,67000,2 years,680,On-time,4000,None,None,None,Verified,Verified,Positive,Positive,1
Leonardo DiCaprio,2222222223,3 years,42000,1 year,620,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Meryl Streep,3333333334,7 years,85000,4 years,740,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Natalie Portman,4444444445,1 year,28000,None,580,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
Oprah Winfrey,5555555556,4 years,56000,2 years,680,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Patrick Stewart,6666666667,6 years,75000,3 years,710,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Quentin Tarantino,7777777778,2 years,33000,None,590,Late payments,6000,None,Serious,None,Verified,Verified,Neutral,Negative,0
Rachel Weisz,8888888889,5 years,68000,2 years,690,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Samuel L. Jackson,9999999990,3 years,42000,1 year,630,On-time,4500,None,None,None,Verified,Verified,Neutral,Neutral,0
Taylor Swift,1010101015,8 years,72000,4 years,710,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
Ursula Le Guin,1111111113,1 year,29000,None,590,Late payments,7000,None,None,None,Verified,Verified,Neutral,Negative,0
Vin Diesel,1212121214,4 years,55000,2 years,670,On-time,3000,None,None,None,Verified,Verified,Positive,Positive,1
Walt Disney,2323232324,7 years,72000,3 years,730,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
